student_id,semester,program,gender,race_ethnicity,first_generation,year,college,pre_confidence,pre_skill_readiness,pre_engagement,post_confidence,post_skill_readiness,post_engagement,sessions_attended,total_sessions,attendance_rate,persisted,secured_internship_job,gpa_change,open_response
1001,Fall 2022,Leadership Development,Male,Black/African American,True,Freshman,Education,1,4,1,1,5,1,4,12,0.33,False,False,0.08,The resources were helpful but hard to find sometimes.
1003,Spring 2024,Leadership Development,Female,Black/African American,False,Junior,Liberal Arts,2,2,3,2,3,3,5,12,0.42,False,False,0.09,The program was okay but I wish there were more flexible scheduling options.
1004,Spring 2024,Experiential Learning,Non-binary,Other,False,Sophomore,Engineering,1,2,3,3,4,5,8,12,0.67,True,False,0.08,I developed stronger communication and leadership skills.
1007,Spring 2023,Leadership Development,Female,Multiracial,True,Sophomore,Business,4,4,3,5,5,5,1,12,0.08,False,True,-0.19,I developed stronger communication and leadership skills.
1011,Fall 2023,Experiential Learning,Male,Multiracial,False,Sophomore,Sciences,4,4,2,5,5,3,10,12,0.83,True,True,0.19,I developed stronger communication and leadership skills.
1013,Spring 2023,Community Engagement,Female,Asian,True,Sophomore,Business,4,1,4,5,2,5,1,12,0.08,False,False,-0.15,The program connected me with peers who share my interests.
1016,Fall 2022,Leadership Development,Prefer not to say,Black/African American,False,Freshman,Liberal Arts,2,1,3,3,2,4,3,12,0.25,False,False,0.11,The workshops helped me build real-world skills I can use immediately.
1021,Fall 2023,Community Engagement,Female,Asian,False,Junior,Business,1,2,1,1,2,2,3,12,0.25,False,True,-0.01,The program felt disconnected from my major.
1023,Fall 2023,Community Engagement,Male,Multiracial,True,Junior,Sciences,3,4,4,3,5,5,4,12,0.33,False,False,-0.2,The workshops helped me build real-world skills I can use immediately.
1025,Fall 2022,Experiential Learning,Non-binary,Asian,True,Junior,Sciences,2,2,4,3,3,4,11,12,0.92,True,True,0.11,I appreciated the structured feedback from program advisors.
1026,Fall 2022,Experiential Learning,Prefer not to say,Other,False,Freshman,Business,2,2,4,2,3,5,2,12,0.17,False,False,0.14,I felt more confident after completing the program milestones.
1027,Fall 2024,Experiential Learning,Female,Black/African American,True,Senior,Sciences,4,2,4,5,3,5,8,12,0.67,True,True,0.25,I appreciated the structured feedback from program advisors.
1029,Spring 2023,Leadership Development,Male,Asian,True,Junior,Engineering,1,4,2,1,5,2,2,12,0.17,False,False,-0.11,The program was okay but I wish there were more flexible scheduling options.
1034,Spring 2023,Experiential Learning,Female,White,False,Junior,Business,3,2,3,4,3,4,2,12,0.17,False,True,0.05,I felt more confident after completing the program milestones.
1035,Fall 2024,Career Readiness,Non-binary,Black/African American,False,Freshman,Business,3,3,2,4,4,4,11,12,0.92,True,True,0.23,The program connected me with peers who share my interests.
1036,Spring 2023,Leadership Development,Female,Asian,True,Junior,Liberal Arts,2,3,2,4,4,3,1,12,0.08,False,True,-0.03,The program connected me with peers who share my interests.
1037,Fall 2022,Leadership Development,Male,Other,False,Sophomore,Sciences,4,1,1,5,2,2,6,12,0.5,True,False,-0.03,Some sessions were more useful than others.
1038,Fall 2023,Leadership Development,Female,Hispanic/Latino,True,Sophomore,Engineering,3,4,2,4,5,4,3,12,0.25,False,False,-0.19,I developed stronger communication and leadership skills.
1042,Spring 2023,Leadership Development,Male,Other,True,Senior,Engineering,4,2,2,5,3,4,4,12,0.33,False,True,0.06,The hands-on projects gave me practical experience beyond coursework.
1045,Fall 2023,Experiential Learning,Non-binary,Hispanic/Latino,False,Junior,Engineering,1,3,2,2,4,3,6,12,0.5,True,False,0.06,Some sessions were more useful than others.
1050,Fall 2022,Community Engagement,Male,Hispanic/Latino,True,Senior,Engineering,2,3,4,3,3,4,2,12,0.17,False,False,-0.08,The program connected me with peers who share my interests.
1054,Fall 2023,Community Engagement,Non-binary,Multiracial,True,Sophomore,Sciences,4,2,3,5,3,4,10,12,0.83,True,False,0.06,I appreciated the structured feedback from program advisors.
1058,Spring 2023,Community Engagement,Male,Other,True,Junior,Education,3,1,2,4,2,3,4,12,0.33,False,False,0.04,I felt more confident after completing the program milestones.
1062,Spring 2024,Career Readiness,Prefer not to say,White,False,Sophomore,Business,1,1,4,2,2,5,9,12,0.75,True,True,0.32,I appreciated the structured feedback from program advisors.
1064,Spring 2024,Leadership Development,Prefer not to say,Multiracial,False,Senior,Business,4,4,3,5,5,5,8,12,0.67,True,False,0.04,I felt more confident after completing the program milestones.
1067,Spring 2023,Leadership Development,Non-binary,Hispanic/Latino,True,Sophomore,Business,2,4,2,3,5,3,7,12,0.58,True,True,0.32,The hands-on projects gave me practical experience beyond coursework.
1072,Fall 2022,Community Engagement,Prefer not to say,Asian,False,Junior,Sciences,4,2,4,5,2,5,11,12,0.92,True,False,0.26,I appreciated the structured feedback from program advisors.
1074,Fall 2024,Experiential Learning,Prefer not to say,Multiracial,True,Freshman,Sciences,2,4,2,2,4,2,7,12,0.58,True,True,0.38,The resources were helpful but hard to find sometimes.
1077,Fall 2022,Community Engagement,Female,Other,True,Junior,Business,1,1,1,2,2,2,3,12,0.25,False,False,-0.15,Some sessions were more useful than others.
1081,Fall 2023,Leadership Development,Male,Multiracial,True,Sophomore,Liberal Arts,1,1,3,2,2,5,4,12,0.33,False,True,0.08,I learned how to network effectively and landed an internship.
1082,Fall 2023,Experiential Learning,Female,Hispanic/Latino,False,Junior,Engineering,3,1,4,4,3,5,8,12,0.67,True,False,0.12,The program connected me with peers who share my interests.
1087,Fall 2024,Community Engagement,Prefer not to say,White,False,Junior,Business,1,3,4,2,4,5,1,12,0.08,False,False,-0.07,I appreciated the structured feedback from program advisors.
1089,Fall 2023,Leadership Development,Non-binary,Hispanic/Latino,False,Freshman,Education,2,1,2,3,3,4,11,12,0.92,True,False,0.12,The workshops helped me build real-world skills I can use immediately.
1090,Fall 2023,Career Readiness,Prefer not to say,Other,True,Junior,Education,3,4,3,4,5,4,5,12,0.42,False,False,-0.11,I learned how to network effectively and landed an internship.
1093,Fall 2022,Career Readiness,Male,Black/African American,False,Junior,Education,3,1,2,4,2,3,3,12,0.25,False,True,0.19,The program was okay but I wish there were more flexible scheduling options.
1096,Spring 2023,Community Engagement,Female,Asian,False,Senior,Sciences,4,3,2,5,5,3,2,12,0.17,False,False,-0.17,I would have liked more one-on-one advising time.
1097,Spring 2023,Career Readiness,Non-binary,Asian,True,Freshman,Education,4,2,4,5,3,5,5,12,0.42,False,False,-0.18,I felt more confident after completing the program milestones.
